location_pair,ODM_value
"('Budapest', 'Kecskemét')",448.00375621407363
"('Budapest', 'Szolnok')",2777.1721687597787
"('Budapest', 'Dunaújváros')",0.0010000000391983122
"('Budapest', 'Székesfehérvár')",129.37332119958887
"('Budapest', 'Győr')",554.7792893335869
"('Budapest', 'Szeged')",1414.807649600621
"('Budapest', 'Pécs')",2710.105587705979
"('Budapest', 'Szekszárd')",1425.6087523579208
"('Budapest', 'Debrecen')",286.50185118818166
"('Budapest', 'Nyíregyháza')",0.0010000000344803084
"('Budapest', 'Miskolc')",576.6737990101943
"('Budapest', 'Siófok')",1028.302493242407
"('Budapest', 'Veszprém')",702.555809822318
"('Budapest', 'Sopron')",1809.745919540996
"('Budapest', 'Szombathely')",2509.2888394184056
"('Kecskemét', 'Szolnok')",147.9269456405006
"('Kecskemét', 'Dunaújváros')",577.9026352821984
"('Kecskemét', 'Székesfehérvár')",1852.0429266036424
"('Kecskemét', 'Győr')",808.0750833678177
"('Kecskemét', 'Szeged')",1092.4033054459558
"('Kecskemét', 'Pécs')",925.8156339482098
"('Kecskemét', 'Szekszárd')",547.2805454378968
"('Kecskemét', 'Debrecen')",1427.9448284278833
"('Kecskemét', 'Nyíregyháza')",956.3501896316127
"('Kecskemét', 'Miskolc')",1220.4907736168348
"('Kecskemét', 'Siófok')",1664.4776669228638
"('Kecskemét', 'Veszprém')",1148.8261872671553
"('Kecskemét', 'Sopron')",460.1033665100026
"('Kecskemét', 'Szombathely')",520.1784340091194
"('Szolnok', 'Dunaújváros')",811.7287739799056
"('Szolnok', 'Székesfehérvár')",234.2347980860183
"('Szolnok', 'Győr')",169.2685864546341
"('Szolnok', 'Szeged')",542.6895469139721
"('Szolnok', 'Pécs')",590.6740440363819
"('Szolnok', 'Szekszárd')",1060.9950078088805
"('Szolnok', 'Debrecen')",131.5099556137548
"('Szolnok', 'Nyíregyháza')",477.77026449494554
"('Szolnok', 'Miskolc')",1560.7730301685272
"('Szolnok', 'Siófok')",483.2640438886051
"('Szolnok', 'Veszprém')",966.496857722617
"('Szolnok', 'Sopron')",221.84268793399417
"('Szolnok', 'Szombathely')",419.03998944494606
"('Dunaújváros', 'Székesfehérvár')",1049.3140392153155
"('Dunaújváros', 'Győr')",1257.8047464028193
"('Dunaújváros', 'Szeged')",757.2900900407406
"('Dunaújváros', 'Pécs')",875.9252612464393
"('Dunaújváros', 'Szekszárd')",67.86077596850231
"('Dunaújváros', 'Debrecen')",1545.5815420924469
"('Dunaújváros', 'Nyíregyháza')",237.95895947876733
"('Dunaújváros', 'Miskolc')",833.6053574924571
"('Dunaújváros', 'Siófok')",1891.4304397661144
"('Dunaújváros', 'Veszprém')",755.8022391231502
"('Dunaújváros', 'Sopron')",276.9125080251954
"('Dunaújváros', 'Szombathely')",313.29380659663167
"('Székesfehérvár', 'Győr')",624.0807718480994
"('Székesfehérvár', 'Szeged')",1045.8425318777852
"('Székesfehérvár', 'Pécs')",435.96881172412776
"('Székesfehérvár', 'Szekszárd')",2066.4322634020796
"('Székesfehérvár', 'Debrecen')",778.9888177167876
"('Székesfehérvár', 'Nyíregyháza')",1176.7182936242336
"('Székesfehérvár', 'Miskolc')",1746.78244540199
"('Székesfehérvár', 'Siófok')",460.4221098697708
"('Székesfehérvár', 'Veszprém')",2031.3136490530765
"('Székesfehérvár', 'Sopron')",83.48303184101398
"('Székesfehérvár', 'Szombathely')",2147.592794629862
"('Győr', 'Szeged')",248.81945330125598
"('Győr', 'Pécs')",1218.8485122259897
"('Győr', 'Szekszárd')",948.8445525476517
"('Győr', 'Debrecen')",708.5010060730635
"('Győr', 'Nyíregyháza')",1566.1566927540744
"('Győr', 'Miskolc')",1375.6831789432636
"('Győr', 'Siófok')",2733.930960728599
"('Győr', 'Veszprém')",60.614375307311434
"('Győr', 'Sopron')",297.9926633406757
"('Győr', 'Szombathely')",419.5228446261775
"('Szeged', 'Pécs')",699.4843155056449
"('Szeged', 'Szekszárd')",1178.7924744458523
"('Szeged', 'Debrecen')",94.36481831758636
"('Szeged', 'Nyíregyháza')",1143.1518029775812
"('Szeged', 'Miskolc')",954.4460418014448
"('Szeged', 'Siófok')",382.0184917934998
"('Szeged', 'Veszprém')",1298.4882632951003
"('Szeged', 'Sopron')",723.5771628298675
"('Szeged', 'Szombathely')",736.8994553807916
"('Pécs', 'Szekszárd')",1799.3990450383276
