origin,destination,flow
Budapest,Szombathely,536.216084873165
Budapest,Dunaújváros,3316.071265017195
Budapest,Sopron,411.82558903795007
Budapest,Veszprém,1398.4292081596395
Budapest,Székesfehérvár,5140.710891425635
Budapest,Debrecen,1886.975280685874
Budapest,Nyíregyháza,928.0598785638248
Budapest,Siófok,527.8478377957515
Budapest,Pécs,1424.7064068296395
Budapest,Szekszárd,521.4628316442189
Budapest,Győr,2295.217683321505
Budapest,Kecskemét,6389.980354640063
Budapest,Szolnok,3628.3267741823706
Budapest,Miskolc,2745.2465926896552
Budapest,Szeged,2078.9233211335086
Szombathely,Budapest,710.7607332064819
Szombathely,Dunaújváros,25.819596979926004
Szombathely,Sopron,406.56123389567944
Szombathely,Veszprém,111.17781836591428
Szombathely,Székesfehérvár,94.18737734670924
Szombathely,Debrecen,24.485627970135088
Szombathely,Nyíregyháza,13.06286703937162
Szombathely,Siófok,31.352087721296616
Szombathely,Pécs,84.46886624260446
Szombathely,Szekszárd,16.1759408384437
Szombathely,Győr,267.0436406390679
Szombathely,Kecskemét,34.92156194371567
Szombathely,Szolnok,17.21211301862829
Szombathely,Miskolc,26.522368796829785
Szombathely,Szeged,34.248165995195635
Dunaújváros,Budapest,2280.2017822467396
Dunaújváros,Szombathely,13.394154223457663
Dunaújváros,Sopron,8.687386752526944
Dunaújváros,Veszprém,54.945549082925545
Dunaújváros,Székesfehérvár,248.04389841604996
Dunaújváros,Debrecen,24.23368170874567
Dunaújváros,Nyíregyháza,11.187524825422306
Dunaújváros,Siófok,29.01327308597223
Dunaújváros,Pécs,66.4707651832265
Dunaújváros,Szekszárd,35.36134752589728
Dunaújváros,Győr,43.93539378596196
Dunaújváros,Kecskemét,180.45879001179506
Dunaújváros,Szolnok,40.358289081492366
Dunaújváros,Miskolc,25.203679993487622
Dunaújváros,Szeged,60.50448407629968
Sopron,Budapest,739.4041143813565
Sopron,Szombathely,550.6947180897922
Sopron,Dunaújváros,22.68340596077734
Sopron,Veszprém,79.85317458861613
Sopron,Székesfehérvár,82.88524798509368
Sopron,Debrecen,25.71650993211837
Sopron,Nyíregyháza,14.16083899727667
Sopron,Siófok,21.84452804237813
Sopron,Pécs,58.78154169288532
Sopron,Szekszárd,12.352093133932836
Sopron,Győr,381.5390118017884
Sopron,Kecskemét,32.58006406325014
Sopron,Szolnok,17.163831979824828
Sopron,Miskolc,29.633222620227187
Sopron,Szeged,30.707696730682237
Veszprém,Budapest,1402.222183206783
Veszprém,Szombathely,84.10288727120317
Veszprém,Dunaújváros,80.12341278781747
Veszprém,Sopron,44.59642020542654
Veszprém,Székesfehérvár,682.8313741544866
Veszprém,Debrecen,26.436609548740346
Veszprém,Nyíregyháza,13.382924719921132
Veszprém,Siófok,444.7678334743924
Veszprém,Pécs,122.52680367791879
Veszprém,Szekszárd,32.6862031367228
Veszprém,Győr,286.85846685201903
Veszprém,Kecskemét,63.26085003740028
Veszprém,Szolnok,25.542119203212376
Veszprém,Miskolc,29.257838172867142
Veszprém,Szeged,46.40407355108874
Székesfehérvár,Budapest,5705.684971877786
Székesfehérvár,Szombathely,78.86670992826764
Székesfehérvár,Dunaújváros,400.3720317277411
Székesfehérvár,Sopron,51.238135235807206
Székesfehérvár,Veszprém,755.8258294995047
Székesfehérvár,Debrecen,62.45061034029675
Székesfehérvár,Nyíregyháza,31.083054986039407
Székesfehérvár,Siófok,257.0452086912902
Székesfehérvár,Pécs,185.86720720675302
Székesfehérvár,Szekszárd,65.49742561564163
Székesfehérvár,Győr,372.84953052329445
Székesfehérvár,Kecskemét,199.2146413727516
Székesfehérvár,Szolnok,73.82312365806183
Székesfehérvár,Miskolc,72.42531660130699
Székesfehérvár,Szeged,108.75620273545788
Debrecen,Budapest,2190.1353063783304
Debrecen,Szombathely,21.44037577148494
Debrecen,Dunaújváros,40.904841047336035
Debrecen,Sopron,16.624486116413433
Debrecen,Veszprém,30.600896153969025
Debrecen,Székesfehérvár,65.30656082409253
Debrecen,Nyíregyháza,2034.4775327306047
Debrecen,Siófok,12.146561621123327
Debrecen,Pécs,65.4088000442251
Debrecen,Szekszárd,19.394606620911855
Debrecen,Győr,56.60466516758908
Debrecen,Kecskemét,167.9095547947018
Debrecen,Szolnok,218.8113518607067
Debrecen,Miskolc,808.4724120068324
Debrecen,Szeged,199.7620488616792
Nyíregyháza,Budapest,1107.1336117091128
Nyíregyháza,Szombathely,11.7565245479448
Nyíregyháza,Dunaújváros,19.40924421337537
Nyíregyháza,Sopron,9.409022096114798
Nyíregyháza,Veszprém,15.922040556462553
Nyíregyháza,Székesfehérvár,33.40897300692975
Nyíregyháza,Debrecen,2091.0874750220974
Nyíregyháza,Siófok,6.157880028860268
Nyíregyháza,Pécs,31.327592159735563
Nyíregyháza,Szekszárd,9.00167464062729
Nyíregyháza,Győr,31.685004389949338
Nyíregyháza,Kecskemét,70.05863928455655
Nyíregyháza,Szolnok,82.62752389271273
Nyíregyháza,Miskolc,742.0932046683422
Nyíregyháza,Szeged,76.92158978317907
Siófok,Budapest,609.7603804359927
Siófok,Szombathely,27.323311400773232
Siófok,Dunaújváros,48.74137267529569
Siófok,Sopron,14.054797314345297
Siófok,Veszprém,512.3980625763497
Siófok,Székesfehérvár,267.53176793583066
Siófok,Debrecen,12.089242182299618
Siófok,Nyíregyháza,5.962901577589107
Siófok,Pécs,83.46864757032273
Siófok,Szekszárd,24.079795406846788
Siófok,Győr,69.91851278401397
Siófok,Kecskemét,33.610749124693015
Siófok,Szolnok,12.333734270498926
Siófok,Miskolc,12.683496114289708
Siófok,Szeged,25.043228630858717
Pécs,Budapest,1772.1120646792247
Pécs,Szombathely,79.26452852032443
Pécs,Dunaújváros,120.2394712360865
Pécs,Sopron,40.72285732757235
Pécs,Veszprém,151.99194136076534
Pécs,Székesfehérvár,208.29745770600394
Pécs,Debrecen,70.09664813476813
Pécs,Nyíregyháza,32.6639561071514
Pécs,Siófok,89.87496334473406
Pécs,Szekszárd,470.77724760709646
Pécs,Győr,122.43049323964618
Pécs,Kecskemét,172.0869332564573
Pécs,Szolnok,62.194678338830464
Pécs,Miskolc,59.801211439631636
Pécs,Szeged,241.44554770170672
Szekszárd,Budapest,560.1314180348425
Szekszárd,Szombathely,13.108486014788943
Szekszárd,Dunaújváros,55.23901877539841
Szekszárd,Sopron,7.389900611267183
Szekszárd,Veszprém,35.015046125312374
Szekszárd,Székesfehérvár,63.387875437698696
Szekszárd,Debrecen,17.94910567208021
Szekszárd,Nyíregyháza,8.105239424183328
Szekszárd,Siófok,22.39076395798501
Szekszárd,Pécs,406.55212461443097
Szekszárd,Győr,26.476954081588904
Szekszárd,Kecskemét,69.59254356656993
Szekszárd,Szolnok,19.926144228562674
Szekszárd,Miskolc,15.393626135674227
Szekszárd,Szeged,79.34175331961671
Győr,Budapest,2844.625097907602
Győr,Szombathely,249.68922827888014
Győr,Dunaújváros,79.18925441808153
Győr,Sopron,263.3731949669362
Győr,Veszprém,354.5622396624607
Győr,Székesfehérvár,416.3419268303364
Győr,Debrecen,60.44336670422469
Győr,Nyíregyháza,32.91780664551447
Győr,Siófok,75.01409648388159
Győr,Pécs,121.9902019842626
Győr,Szekszárd,30.549394300684572
Győr,Kecskemét,95.09699218758533
Győr,Szolnok,48.3836900279687
Győr,Miskolc,76.46000649287267
Győr,Szeged,72.36350310870795
Kecskemét,Budapest,3945.9438654889573
Kecskemét,Szombathely,16.26902215953224
Kecskemét,Dunaújváros,162.06155263738032
Kecskemét,Sopron,11.205591317535603
Kecskemét,Veszprém,38.959202287997485
Kecskemét,Székesfehérvár,110.83783259935768
Kecskemét,Debrecen,89.33508490518452
Kecskemét,Nyíregyháza,36.26511339823712
Kecskemét,Siófok,17.967146813577894
Kecskemét,Pécs,85.43453694924021
Kecskemét,Szekszárd,40.008062063587246
Kecskemét,Győr,47.382394516847434
Kecskemét,Szolnok,346.45353682755234
Kecskemét,Miskolc,77.75185084742701
Kecskemét,Szeged,297.1252071875861
Szolnok,Budapest,2966.435634214194
Szolnok,Szombathely,10.616445525278857
Szolnok,Dunaújváros,47.98570250628007
Szolnok,Sopron,7.815814724531363
Szolnok,Veszprém,20.82615594913562
Szolnok,Székesfehérvár,54.37964201948459
Szolnok,Debrecen,154.1322966970704
Szolnok,Nyíregyháza,56.62774090923827
Szolnok,Siófok,8.729164298160507
Szolnok,Pécs,40.88047722383276
Szolnok,Szekszárd,15.166495160169633
Szolnok,Győr,31.917316252008327
Szolnok,Kecskemét,458.6930452553475
Szolnok,Miskolc,132.6260334730557
Szolnok,Szeged,155.16803579221227
Miskolc,Budapest,2289.2042149388985
Miskolc,Szombathely,16.685218413349283
Miskolc,Dunaújváros,30.564528953536104
Miskolc,Sopron,13.763013148717402
Miskolc,Veszprém,24.33151000914297
Miskolc,Székesfehérvár,54.41378910133357
Miskolc,Debrecen,580.8495337726085
Miskolc,Nyíregyháza,518.7254934907593
Miskolc,Siófok,9.155703087647742
Miskolc,Pécs,40.091042787801946
Miskolc,Szekszárd,11.950264995974358
Miskolc,Győr,51.444191950888694
Miskolc,Kecskemét,104.99352866602813
Miskolc,Szolnok,135.2706014152805
Miskolc,Szeged,85.55736526803302
Szeged,Budapest,2665.6415672044013
Szeged,Szombathely,33.129662478390756
Szeged,Dunaújváros,112.82398040405253
Szeged,Sopron,21.930169540058216
Szeged,Veszprém,59.33938490488631
Szeged,Székesfehérvár,125.6413827814633
Szeged,Debrecen,220.68434659268544
Szeged,Nyíregyháza,82.67753016715378
Szeged,Siófok,27.797333898875223
Szeged,Pécs,248.89528941828266
Szeged,Szekszárd,94.71058078479128
