,origin,destination,flow
0,"(641866.2407889856, 179705.4533446337)","(734356.0452763669, 101529.89269983194)",0
1,"(641866.2407889856, 179705.4533446337)","(465949.9764254772, 201387.620110645)",8
2,"(699056.1944620786, 173815.98541762235)","(641866.2407889856, 179705.4533446337)",15
3,"(641866.2407889856, 179705.4533446337)","(623718.4288896682, 111657.29311797058)",0
4,"(641866.2407889856, 179705.4533446337)","(602645.2631585986, 204916.6979331614)",0
5,"(641866.2407889856, 179705.4533446337)","(849343.5199961576, 293650.8211050974)",0
6,"(641866.2407889856, 179705.4533446337)","(543952.5909555099, 261363.56736361497)",0
7,"(641866.2407889856, 179705.4533446337)","(779905.216087059, 308210.4776814674)",0
8,"(641866.2407889856, 179705.4533446337)","(563750.9189047432, 195017.91075009792)",0
9,"(649456.791750841, 239330.74494126168)","(641866.2407889856, 179705.4533446337)",1
10,"(735713.786937659, 203764.72107135272)","(641866.2407889856, 179705.4533446337)",1
11,"(641866.2407889856, 179705.4533446337)","(573267.7369656115, 174658.52941226802)",0
12,"(641866.2407889856, 179705.4533446337)","(844216.4486454271, 246279.2183460687)",8
13,"(641866.2407889856, 179705.4533446337)","(465452.68725493056, 263210.55726963974)",0
14,"(641866.2407889856, 179705.4533446337)","(586928.3749487305, 81231.49031992705)",1
15,"(734356.0452763669, 101529.89269983194)","(465949.9764254772, 201387.620110645)",0
16,"(699056.1944620786, 173815.98541762235)","(734356.0452763669, 101529.89269983194)",44
17,"(734356.0452763669, 101529.89269983194)","(623718.4288896682, 111657.29311797058)",0
18,"(602645.2631585986, 204916.6979331614)","(734356.0452763669, 101529.89269983194)",1
19,"(734356.0452763669, 101529.89269983194)","(849343.5199961576, 293650.8211050974)",0
20,"(543952.5909555099, 261363.56736361497)","(734356.0452763669, 101529.89269983194)",0
21,"(734356.0452763669, 101529.89269983194)","(779905.216087059, 308210.4776814674)",49
22,"(734356.0452763669, 101529.89269983194)","(563750.9189047432, 195017.91075009792)",0
23,"(649456.791750841, 239330.74494126168)","(734356.0452763669, 101529.89269983194)",58
24,"(735713.786937659, 203764.72107135272)","(734356.0452763669, 101529.89269983194)",0
25,"(734356.0452763669, 101529.89269983194)","(573267.7369656115, 174658.52941226802)",0
26,"(734356.0452763669, 101529.89269983194)","(844216.4486454271, 246279.2183460687)",7
27,"(734356.0452763669, 101529.89269983194)","(465452.68725493056, 263210.55726963974)",0
28,"(734356.0452763669, 101529.89269983194)","(586928.3749487305, 81231.49031992705)",0
