origin,destination,flow
Budapest,Balmazújváros,51.20853941834122
Budapest,Szombathely,135.29679902441927
Budapest,Hajdúböszörmény,78.64867957183324
Budapest,Dunaújváros,836.703411461084
Budapest,Baja,122.07625363777218
Budapest,Csorna,31.572943509798332
Budapest,Pécel,96987.05606825951
Budapest,Mezőtúr,93.81944806812524
Budapest,Mosonmagyaróvár,92.8934079572663
Budapest,Paks,133.83816512755243
Budapest,Karcag,91.08494071417223
Budapest,Gyula,71.7212506465533
Budapest,Csongrád,104.19000042666494
Budapest,Sátoraljaújhely,26.330579061515994
Budapest,Hajdúszoboszló,65.90749483653711
Budapest,Gyöngyös,685.851013404089
Budapest,Komárom,161.26024159231588
Budapest,Pomáz,1671.840976823817
Budapest,Kalocsa,101.05863709149921
Budapest,Bonyhád,46.788295688335005
Budapest,Ajka,108.02975807483759
Budapest,Kazincbarcika,117.80564585972958
Budapest,Törökbálint,1101.6652668575266
Budapest,Makó,59.53760267475862
Budapest,Solymár,806.1230573519719
Budapest,Tiszavasvári,33.522724320561046
Budapest,Dombóvár,60.080241769354814
Budapest,Isaszeg,9136.870109886053
Budapest,Hódmezővásárhely,162.29716565869475
Budapest,Sopron,103.9108775827942
Budapest,Biatorbágy,696.8252741695567
Budapest,Dabas,1083.547757209352
Budapest,Kisvárda,23.346331146003358
Budapest,Kiskőrös,109.5922576364622
Budapest,Dunaharaszti,3316.439689557026
Budapest,Békés,54.459052265891316
Budapest,Pilis,982.7509995402315
Budapest,Püspökladány,54.40535058903163
Budapest,Hajdúhadház,27.450643119156116
Budapest,Bicske,340.58204136867755
Budapest,Dorog,343.08948145042416
Budapest,Monor,3794.2496795724114
Budapest,Edelény,35.93123476519512
Budapest,Maglód,18540.769840378787
Budapest,Cegléd,1017.1271459152044
Budapest,Várpalota,166.4577080357981
Budapest,Veszprém,352.84841477854224
Budapest,Budakeszi,1305.6867788664476
Budapest,Berettyóújfalu,36.11493848491126
Budapest,Üllő,6113.719972371338
Budapest,Szigethalom,1510.741054675488
Budapest,Nagykáta,749.7520299119092
Budapest,Körmend,18.72576958817678
Budapest,Balassagyarmat,265.21301970364783
Budapest,Tiszaföldvár,95.08075085702755
Budapest,Pilisvörösvár,915.1968008178687
Budapest,Szentes,146.42172502593354
Budapest,Ózd,194.79810445370288
Budapest,Heves,131.07862005375296
Budapest,Kömlő,66.0161921438443
Budapest,Székesfehérvár,1297.0922505697945
Budapest,Nyírbátor,18.215281569505915
Budapest,Debrecen,476.1172268366254
Budapest,Békéscsaba,169.71687839683204
Budapest,Szentendre,2628.6741022187307
Budapest,Sajószentpéter,47.33544277710608
Budapest,Kőszeg,19.755700548337554
Budapest,Nyíregyháza,234.16591634392543
Budapest,Ráckeve,354.9573012600609
Budapest,Százhalombatta,1304.011650399156
Budapest,Siófok,133.18534232821202
Budapest,Lajosmizse,257.469848143126
Budapest,Nagyatád,18.404834390647082
Budapest,Tatabánya,1043.3930908718864
Budapest,Jászberény,878.4387433838097
Budapest,Veresegyház,3658.56959800978
Budapest,Keszthely,48.4064506672387
Budapest,Mór,145.6172462031116
Budapest,Marcali,26.870392916059092
Budapest,Dunakeszi,6595.8107319788805
Budapest,Mátészalka,22.191591811719867
Budapest,Pécs,359.4786166088747
Budapest,Mezőkövesd,109.75523046745829
Budapest,Mezőberény,33.87773327159032
Budapest,Nagykőrös,452.7385895287144
Budapest,Tata,305.6877664802505
Budapest,Kiskunfélegyháza,233.41678926183894
Budapest,Kaposvár,168.59048535016808
Budapest,Eger,458.64726038667754
Budapest,Balatonfüred,63.89196806470958
Budapest,Sárvár,32.27986892279465
Budapest,Hatvan,1144.0655294177225
Budapest,Hajdúnánás,44.03549784842498
Budapest,Szekszárd,131.57429238319233
Budapest,Orosháza,96.52343944619247
Budapest,Budaörs,3184.959762912436
Budapest,Budakalász,1312.7340721282212
Budapest,Göd,2036.749893942274
Budapest,Sárbogárd,125.21303993456236
Budapest,Szarvas,87.94028599060817
Budapest,Mohács,44.179672618814784
Budapest,Kiskunmajsa,62.388595792328786
Budapest,Vác,2041.9749938344403
Budapest,Esztergom,736.0217961552855
Budapest,Tolna,52.3536884211766
Budapest,Győr,579.1240031359672
Budapest,Gyál,10751.89603643863
Budapest,Salgótarján,422.0427760122359
Budapest,Kisújszállás,61.17850208402966
Budapest,Komló,66.0161921438443
Budapest,Szigetvár,19.829326009114258
Budapest,Újfehértó,27.690804411570948
Budapest,Kecskemét,1612.305024412352
Budapest,Vecsés,20206.519405157003
Budapest,Celldömölk,28.439859482454274
Budapest,Törökszentmiklós,180.76262993321012
Budapest,Sárospatak,23.70061908427109
Budapest,Szolnok,915.4909973981628
Budapest,Abony,269.1963501202736
Budapest,Kapuvár,25.08165443476571
Budapest,Tiszaújváros,57.478965430134096
Budapest,Sarkad,22.412794711218687
Budapest,Szigetszentmiklós,4051.6935884556265
Budapest,Tapolca,45.57984584298595
Budapest,Tiszafüred,61.06187930901526
Budapest,Gyömrő,11835.120784038041
Budapest,Tököl,766.0070378607155
Budapest,Miskolc,692.6742539091483
Budapest,Tiszakécske,106.4611603294314
Budapest,Oroszlány,239.81990161162435
Budapest,Nagykanizsa,79.59383639098972
Budapest,Érd,4944.94548709612
Budapest,Hajdúsámson,26.82618546887257
Budapest,Albertirsa,678.5613889971598
Budapest,Pápa,117.50655525638034
Budapest,Zalaegerszeg,110.49215845736568
Budapest,Kiskunhalas,145.29372721302582
Budapest,Gödöllő,13663.171569293363
Budapest,Fót,4622.528603367368
Budapest,Barcs,16.622057570578175
Budapest,Szeged,524.5491112656753
Budapest,Gyomaendrőd,56.17498291592404
Budapest,Bátonyterenye,194.78774266843268
Budapest,Kistarcsa,14616.315644767314
Budapest,Kerepes,9652.159811913036
Balmazújváros,Budapest,206.69414348604494
Balmazújváros,Szombathely,1.7580264866110458
Balmazújváros,Hajdúböszörmény,476.3150254689209
Balmazújváros,Dunaújváros,3.5513308638005943
Balmazújváros,Baja,1.8123473569848594
Balmazújváros,Csorna,0.3206731341997136
Balmazújváros,Pécel,1.9154640517729618
Balmazújváros,Mezőtúr,6.467569002302245
Balmazújváros,Mosonmagyaróvár,0.9914788766288644
Balmazújváros,Paks,1.1595181319874412
Balmazújváros,Karcag,27.13187506276319
Balmazújváros,Gyula,7.778706287160663
Balmazújváros,Csongrád,2.599806314358768
Balmazújváros,Sátoraljaújhely,5.4473148865375896
Balmazújváros,Hajdúszoboszló,185.29892256427325
Balmazújváros,Gyöngyös,7.894463656710981
Balmazújváros,Komárom,0.9557629116848113
Balmazújváros,Pomáz,1.6054404976852892
Balmazújváros,Kalocsa,1.0257923310276142
Balmazújváros,Bonyhád,0.5810175096551441
Balmazújváros,Ajka,0.9743471903152011
Balmazújváros,Kazincbarcika,10.436294666853168
Balmazújváros,Törökbálint,1.1396047249695143
Balmazújváros,Makó,2.3464100351907478
Balmazújváros,Solymár,0.889574748240357
Balmazújváros,Tiszavasvári,23.56227871168027
Balmazújváros,Dombóvár,0.7072695404858109
Balmazújváros,Isaszeg,1.5112024817344787
Balmazújváros,Hódmezővásárhely,5.571106953066333
Balmazújváros,Sopron,1.3731727754178893
Balmazújváros,Biatorbágy,1.0015375768732946
Balmazújváros,Dabas,1.8497033405816705
Balmazújváros,Kisvárda,6.29786565743824
Balmazújváros,Kiskőrös,1.1062368895346897
Balmazújváros,Dunaharaszti,1.9542342951297378
Balmazújváros,Békés,6.107283949950089
Balmazújváros,Pilis,1.6562462113321446
Balmazújváros,Püspökladány,29.424720979461135
Balmazújváros,Hajdúhadház,57.354224563305024
Balmazújváros,Bicske,0.7985104386983893
Balmazújváros,Dorog,0.8875389009584627
Balmazújváros,Monor,2.454191996478379
Balmazújváros,Edelény,3.614565763434803
Balmazújváros,Maglód,1.5085539106130237
Balmazújváros,Cegléd,6.689479680678594
Balmazújváros,Várpalota,0.9540780305459937
Balmazújváros,Veszprém,2.5835108296642963
Balmazújváros,Budakeszi,1.2431508494426928
Balmazújváros,Berettyóújfalu,19.560868390519197
Balmazújváros,Üllő,1.4076254102039374
Balmazújváros,Szigethalom,1.5396260378339448
Balmazújváros,Nagykáta,2.374070097742003
Balmazújváros,Körmend,0.25075845405317404
Balmazújváros,Balassagyarmat,1.75986892927429
Balmazújváros,Tiszaföldvár,2.670406650423541
Balmazújváros,Pilisvörösvár,1.1693756225585528
Balmazújváros,Szentes,4.462704512809161
Balmazújváros,Ózd,9.07578230182925
Balmazújváros,Heves,4.65039850835762
Balmazújváros,Kömlő,0.8895059077462352
Balmazújváros,Székesfehérvár,5.649905848798899
Balmazújváros,Nyírbátor,8.515696125984686
Balmazújváros,Debrecen,1097.9247565751157
Balmazújváros,Békéscsaba,16.287671528430785
Balmazújváros,Szentendre,2.5679964169334064
Balmazújváros,Sajószentpéter,5.094224280068535
Balmazújváros,Kőszeg,0.26147543509171356
Balmazújváros,Nyíregyháza,154.24473259049358
Balmazújváros,Ráckeve,0.8061585919230075
Balmazújváros,Százhalombatta,1.5868070735565156
Balmazújváros,Siófok,1.0195098586418865
Balmazújváros,Lajosmizse,1.3960283012829848
Balmazújváros,Nagyatád,0.2638790534264068
Balmazújváros,Tatabánya,4.049703145245495
Balmazújváros,Jászberény,6.523437648427058
Balmazújváros,Veresegyház,2.0255567348477763
Balmazújváros,Keszthely,0.5649361598320763
